 -3.60000000000000727E-004 -6.97371574444285340E-004           0           0           0
 -3.55000000000000714E-004 -6.96749711356254805E-004           0           0           0
 -3.50000000000000701E-004 -6.95903783841467748E-004           0           0           0
 -3.45000000000000688E-004 -6.94833084466606947E-004           0           0           0
 -3.40000000000000675E-004 -6.94340759525669893E-004           0           0           0
 -3.35000000000000662E-004 -6.93694745288051342E-004           0           0           0
 -3.30000000000000649E-004 -6.92694449202495397E-004           0           0           0
 -3.25000000000000636E-004 -6.92303119131700831E-004           0           0           0
 -3.20000000000000622E-004 -6.91613568717142600E-004           0           0           0
 -3.15000000000000609E-004 -6.91977887183909649E-004           0           0           0
