 -4.60000000000000990E-004 -7.07820801461436343E-004           0           0           0
 -4.55000000000000977E-004 -7.07376108238034975E-004           0           0           0
 -4.50000000000000963E-004 -7.06569280424608438E-004           0           0           0
 -4.45000000000000950E-004 -7.05549882020735505E-004           0           0           0
 -4.40000000000000937E-004 -7.05170900497289772E-004           0           0           0
 -4.35000000000000924E-004 -7.04589357282695656E-004           0           0           0
 -4.30000000000000911E-004 -7.04056782573575382E-004           0           0           0
 -4.25000000000000898E-004 -7.03990261124237075E-004           0           0           0
 -4.20000000000000885E-004 -7.02731925214869621E-004           0           0           0
 -4.15000000000000872E-004 -7.02309871183355193E-004           0           0           0
