  4.90000000000000960E-004  1.06378827396038638E-002
  4.95000000000000973E-004  1.02946449999790531E-002
  5.00000000000000986E-004  1.05594724930239848E-002
  5.05000000000000999E-004  1.05331079442505353E-002
  5.10000000000001012E-004  1.04945018699143661E-002
  5.15000000000001026E-004  1.04702436341900951E-002
  5.20000000000001039E-004  1.04410202096854327E-002
  5.25000000000001052E-004  1.05574323782400628E-002
  5.30000000000001065E-004  1.05735251622889551E-002
  5.35000000000001078E-004  1.05882475696272346E-002
